State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Income,IncomePerCap,Poverty,Unemployment
Michigan,Ionia County,64147,34130,30017,4.7,88.3,4.7,0.2,0.4,0.0,51980,22715,13.1,6.2
Michigan,Iosco County,25317,12570,12747,2.0,94.3,0.7,0.8,0.6,0.0,41414,24099,16.9,9.6
Michigan,Iron County,11291,5576,5715,1.8,95.0,0.7,1.2,0.5,0.0,36773,23658,14.2,5.7
Michigan,Isabella County,70572,34338,36234,3.8,85.8,2.5,2.5,1.6,0.0,42771,22009,27.3,8.4
Michigan,Jackson County,158989,81200,77789,3.4,85.0,8.2,0.3,0.7,0.0,49715,25952,15.2,7.6
Michigan,Kalamazoo County,259830,127247,132583,4.7,78.0,10.6,0.2,2.4,0.0,51945,29258,16.7,6.6
Michigan,Kalkaska County,17358,8874,8484,1.8,94.7,0.7,0.6,0.4,0.0,43431,22822,18.5,8.7
Michigan,Kent County,636376,313134,323242,10.3,74.4,9.3,0.3,2.8,0.0,57302,29433,13.4,5.4
Michigan,Keweenaw County,2136,1099,1037,0.7,97.5,1.5,0.2,0.1,0.0,41118,28700,14.5,5.5
Michigan,Lake County,11669,5965,5704,2.6,84.8,7.6,0.7,0.2,0.0,32309,18199,25.0,11.6
Michigan,Lapeer County,88205,44663,43542,4.6,92.0,1.3,0.3,0.5,0.0,56186,26650,9.7,7.4
Michigan,Leelanau County,21564,10681,10883,4.2,90.2,0.5,2.5,0.7,0.0,62646,37061,7.7,6.3
Michigan,Lenawee County,98585,49929,48656,7.8,87.0,2.4,0.3,0.3,0.1,51339,25649,13.7,5.9
Michigan,Livingston County,186946,93729,93217,2.3,94.6,0.6,0.2,0.9,0.1,78430,36845,5.9,4.6
Michigan,Luce County,6406,3753,2653,3.2,78.2,6.4,6.3,0.2,0.0,41221,19442,19.4,11.8
Michigan,Mackinac County,10836,5474,5362,1.6,73.8,2.3,16.9,0.6,0.0,42559,26967,15.4,10.5
Michigan,Macomb County,864019,420439,443580,2.5,80.2,10.9,0.2,3.7,0.0,58175,29740,11.8,6.6
Michigan,Manistee County,24432,12697,11735,2.9,89.4,2.8,1.6,0.4,0.0,44882,24398,14.7,8.0
