full_name,diameter,rot_per
   262 Valda,14.645,17.386
   263 Dresda,23.952,16.809
   264 Libussa,62.969,9.2276
   265 Anna,22.767,11.681
   266 Aline,109.494,13.018
   267 Tirza,55.998,7.648
   268 Adorea,144.585,7.80
   269 Justitia,50.728,33.128
   270 Anahita,51.400,15.06
   271 Penthesilea,65.901,18.787
   272 Antonia,26.870,3.8548
   273 Atropos,29.768,23.924
   274 Philagoria,27.307,17.938
   275 Sapientia,103,14.931
   276 Adelheid,114.723,6.315
   277 Elvira,30.422,29.69
   278 Paulina,32.773,6.497
   279 Thule,126.59,23.896
   280 Philia,45.69,70.26
   281 Lucretia,11.036,4.348
   282 Clorinde,39.03,6.42
   283 Emma,132.385,6.896
   284 Amalia,52.95,8.545
   285 Regina,47.156,9.542
   286 Iclea,94.30,15.365
   287 Nephthys,59.615,7.605
   288 Glauke,28.981,1170.
   289 Nenetta,37.586,6.902
   290 Bruna,9.822,13.807
   291 Alice,10.456,4.313
   292 Ludovica,30.864,8.93
   293 Brasilia,57.486,8.17
   294 Felicia,51.865,10.4227
   295 Theresia,28.340,10.702
   296 Phaetusa,8.196,4.5385
   297 Caecilia,39.48,4.163
   298 Baptistina,21.135,16.23
   299 Thora,15.757,272.9
   300 Geraldina,67.373,6.8423
   301 Bavaria,53.042,12.253
   302 Clarissa,38.53,14.381
   303 Josephina,124.923,12.497
   304 Olga,65.990,18.36
   305 Gordonia,47.739,12.893
   306 Unitas,47.200,8.736
   307 Nike,61.313,11.857
   308 Polyxo,128.578,12.029
   309 Fraternitas,41.075,22.398
   310 Margarita,33.708,12.070
   311 Claudia,26.300,7.532
   312 Pierretta,46.191,10.282
   313 Chaldaea,77.853,8.392
   314 Rosalia,60.689,20.465
   315 Constantia,6.534,5.345
   316 Goberta,56.067,8.605
   317 Roxane,18.648,8.169
   318 Magdalena,85,42.49
   319 Leona,49.943,430.
   320 Katharina,23.362,6.893
   321 Florentina,27.974,2.871
   322 Phaeo,69.855,17.5845
   323 Brucia,27.714,9.463
   324 Bamberga,220.691,29.43
   325 Heidelberga,75.72,6.737
   326 Tamara,93.00,14.445
   327 Columbia,30.291,5.9320
   328 Gudrun,145.680,10.992
   329 Svea,81.057,22.778
   330 Adalberta (A910 CB),9.111,3.5553
   331 Etheridgea,74.92,25.315
   332 Siri,40.37,8.0074
   333 Badenia (1892 A),72.199,9.862
   334 Chicago (1892 L),198.770,7.361
   335 Roberta (1892 C),97.109,12.054
   336 Lacadiera (1892 D),67.513,13.70
   337 Devosa (1892 E),64.549,4.653
   338 Budrosa (1892 F),50.506,4.6084
   339 Dorothea (1892 G),44.329,5.974
   340 Eduarda (1892 H),28.025,8.0062
   341 California (1892 J),15.830,318.
   342 Endymion (1892 K),60.903,6.319
   343 Ostara (1892 N),18.213,109.87
   344 Desiderata (1892 M),124.181,10.747
   345 Tercidina (1892 O),96.865,12.371
   346 Hermentaria (1892 P),86.447,28.523
   347 Pariana (1892 Q),48.615,4.0529
   348 May (1892 R),82.82,7.3812
   349 Dembowska (1892 T),139.77,4.701
   350 Ornamenta (1892 U),128.729,9.178
   351 Yrsa (1892 V),39.720,13.29
   352 Gisela (1893 B),26.744,7.490
   353 Ruperto-Carola (1893 F),14.025,2.73898
   354 Eleonora (1893 A),148.970,4.277
   355 Gabriella (1893 E),24.040,4.830
   356 Liguria (1893 G),145.503,31.701
   357 Ninina (1893 J),124.107,36.0105
   358 Apollonia (1893 K),90.116,50.6
   359 Georgia (1893 M),43.89,5.537
   360 Carlova (1893 N),129.125,6.183
   361 Bononia (1893 P),154.334,13.835
   362 Havnia (1893 R),98,16.92
   363 Padua (1893 S),97,8.401
   364 Isara (1893 T),25.901,9.156
   365 Corduba (1893 V),86.773,12.705
   366 Vincentina (1893 W),86.368,12.7365
   367 Amicitia (1893 AA),21.243,5.05538
   368 Haidea (1893 AB),69.277,9.823
   369 Aeria (1893 AE),73.767,4.778
   370 Modestia (1893 AC),38.093,22.5299
   371 Bohemia (1893 AD),52.976,10.7391
   372 Palma (1893 AH),173.642,8.567
   373 Melusina (1893 AJ),98.695,12.97
   374 Burgundia (1893 AK),44.67,6.972
   375 Ursula (1893 AL),216,16.899
   376 Geometria (1893 AM),35.465,7.74
   377 Campania (1893 AN),90.346,11.664
   378 Holmia (1893 AP),27.831,4.450
   379 Huenna (1894 AQ),84.787,14.141
   380 Fiducia (1894 AR),67.508,13.69
   381 Myrrha (1894 AS),127.639,6.572
   382 Dodona (1894 AT),65.209,4.113
