SCHOOL CODE,SCHOOL NAME,GRADE ,PROGRAM TYPE,NUMBER OF STUDENTS / SEATS FILLED,NUMBER OF SECTIONS,AVERAGE CLASS SIZE,SIZE OF SMALLEST CLASS,SIZE OF LARGEST CLASS
Q028,P.S. 28 - The Thomas Emanuel Early Childhood Center,1,CTT,24,1,24,24,24
Q049,P.S. 049 Dorothy Bonawit Kole,1,GEN ED,100,4,25,23,26
Q049,P.S. 049 Dorothy Bonawit Kole,1,CTT,22,1,22,22,22
Q058,P.S. 58 - School of Heroes,1,GEN ED,112,6,18.7,18,20
Q058,P.S. 58 - School of Heroes,1,CTT,23,1,23,23,23
Q068,P.S. 068 Cambridge,1,GEN ED,101,5,20.2,19,21
Q071,P.S. 071 Forest,1,GEN ED,151,6,25.2,21,28
Q071,P.S. 071 Forest,1,CTT,28,1,28,28,28
Q081,P.S. 81Q Jean Paul Richter,1,GEN ED,112,6,18.7,16,21
Q081,P.S. 81Q Jean Paul Richter,1,CTT,38,2,19,19,19
Q087,P.S. 087 Middle Village,1,GEN ED,26,1,26,26,26
Q087,P.S. 087 Middle Village,1,CTT,28,1,28,28,28
Q088,P.S. 088 Seneca,1,GEN ED,127,5,25.4,23,28
Q088,P.S. 088 Seneca,1,CTT,50,2,25,24,26
Q089,P.S. 089 Elmhurst,1,GEN ED,270,10,27,24,28
Q089,P.S. 089 Elmhurst,1,CTT,28,1,28,28,28
Q091,P.S. 091 Richard Arkwright,1,GEN ED,103,4,25.8,24,27
Q091,P.S. 091 Richard Arkwright,1,CTT,24,1,24,24,24
Q102,P.S. 102 Bayview,1,GEN ED,121,4,30.3,29,31
Q102,P.S. 102 Bayview,1,CTT,30,1,30,30,30
Q113,P.S. 113 Isaac Chauncey,1,GEN ED,99,4,24.8,24,25
Q113,P.S. 113 Isaac Chauncey,1,CTT,22,1,22,22,22
Q128,P.S. 128 Juniper Valley,1,GEN ED,100,4,25,24,26
Q143,P.S. 143 Louis Armstrong,1,GEN ED,269,10,26.9,24,29
Q143,P.S. 143 Louis Armstrong,1,CTT,30,1,30,30,30
Q153,P.S. 153 Maspeth Elem,1,GEN ED,147,7,21,19,22
Q153,P.S. 153 Maspeth Elem,1,CTT,29,1,29,29,29
Q153,P.S. 153 Maspeth Elem,1,G&T,15,1,15,15,15
Q199,P.S. 199 Maurice A. Fitzgerald,1,GEN ED,182,8,22.8,17,25
Q229,P.S. 229 Emanuel Kaplan,1,GEN ED,186,8,23.3,21,26
Q229,P.S. 229 Emanuel Kaplan,1,CTT,24,1,24,24,24
Q239,P.S. 239,1,GEN ED,113,4,28.3,27,30
Q239,P.S. 239,1,CTT,25,1,25,25,25
Q305,Learners and Leaders,1,GEN ED,73,3,24.3,24,25
Q305,Learners and Leaders,1,CTT,23,1,23,23,23
Q307,Pioneer Academy,1,GEN ED,167,6,27.8,27,28
Q307,Pioneer Academy,1,CTT,27,1,27,27,27
Q020,P.S. 020 John Bowne,1,GEN ED,220,11,20,16,24
Q021,P.S. 021 Edward Hart,1,GEN ED,141,6,23.5,22,25
Q021,P.S. 021 Edward Hart,1,CTT,24,1,24,24,24
Q021,P.S. 021 Edward Hart,1,G&T,24,1,24,24,24
Q022,P.S. 022 Thomas Jefferson,1,GEN ED,108,5,21.6,21,22
Q024,P.S. 024 Andrew Jackson,1,GEN ED,109,5,21.8,21,22
Q024,P.S. 024 Andrew Jackson,1,CTT,25,1,25,25,25
Q029,P.S. 029 Queens,1,GEN ED,90,3,30,30,30
Q029,P.S. 029 Queens,1,CTT,19,1,19,19,19
Q032,P.S. 032 State Street,1,GEN ED,128,5,25.6,24,28
Q079,P.S. 079 Francis Lewis,1,GEN ED,84,3,28,27,29
Q079,P.S. 079 Francis Lewis,1,CTT,28,1,28,28,28
Q079,P.S. 079 Francis Lewis,1,G&T,17,1,17,17,17
Q107,P.S. 107 Thomas A Dooley,1,GEN ED,135,6,22.5,17,25
