SCHOOL CODE,SCHOOL NAME,GRADE ,PROGRAM TYPE,NUMBER OF STUDENTS / SEATS FILLED,NUMBER OF SECTIONS,AVERAGE CLASS SIZE,SIZE OF SMALLEST CLASS,SIZE OF LARGEST CLASS
K208,P.S. 208 Elsa Ebeling,4,G&T,23,1,23,23,23
K219,P.S. 219 Kennedy-King,4,GEN ED,107,5,21.4,20,22
K233,P.S. 233 Langston Hughes,4,GEN ED,94,3,31.3,30,32
K233,P.S. 233 Langston Hughes,4,CTT,31,1,31,31,31
K235,P.S. 235 Lenox School,4,GEN ED,180,7,25.7,24,29
K244,P.S. 244 Richard R. Green,4,GEN ED,102,4,25.5,23,28
K244,P.S. 244 Richard R. Green,4,CTT,24,1,24,24,24
K268,P.S. 268 Emma Lazarus,4,GEN ED,68,3,22.7,22,24
K268,P.S. 268 Emma Lazarus,4,CTT,20,1,20,20,20
K272,P.S. 272 Curtis Estabrook,4,GEN ED,65,3,21.7,21,23
K272,P.S. 272 Curtis Estabrook,4,CTT,21,1,21,21,21
K276,P.S. 276 Louis Marshall,4,GEN ED,82,3,27.3,26,28
K276,P.S. 276 Louis Marshall,4,CTT,21,1,21,21,21
K276,P.S. 276 Louis Marshall,4,G&T,28,1,28,28,28
K279,P.S. 279 Herman Schreiber,4,GEN ED,70,3,23.3,23,24
K279,P.S. 279 Herman Schreiber,4,CTT,25,1,25,25,25
K007,P.S. 007 Abraham Lincoln,4,GEN ED,146,6,24.3,23,25
K013,P.S. 013 Roberto Clemente,4,GEN ED,78,4,19.5,19,20
K065,P.S. 065,4,GEN ED,98,4,24.5,24,26
K065,P.S. 065,4,CTT,25,1,25,25,25
K089,P.S. 089 Cypress Hills,4,GEN ED,38,2,19,18,20
K108,P.S. 108 Sal Abbracciamento,4,GEN ED,161,7,23,22,25
K149,P.S. 149 Danny Kaye,4,GEN ED,109,5,21.8,20,25
K158,P.S. 158 Warwick,4,CTT,16,1,16,16,16
K159,P.S. 159 Isaac Pitkin,4,GEN ED,127,6,21.2,20,23
K159,P.S. 159 Isaac Pitkin,4,CTT,20,1,20,20,20
K174,P.S. 174 Dumont,4,GEN ED,24,1,24,24,24
K174,P.S. 174 Dumont,4,CTT,22,1,22,22,22
K190,P.S. 190 Sheffield,4,GEN ED,42,2,21,21,21
K202,P.S. 202 Ernest S. Jenkyns,4,GEN ED,82,3,27.3,27,28
K202,P.S. 202 Ernest S. Jenkyns,4,G&T,24,1,24,24,24
K213,P.S. 213 New Lots,4,GEN ED,59,3,19.7,19,20
K214,P.S. 214 Michael Friedsam,4,GEN ED,136,6,22.7,19,25
K224,P.S. 224 Hale A. Woodruff,4,GEN ED,91,4,22.8,22,24
K224,P.S. 224 Hale A. Woodruff,4,CTT,22,1,22,22,22
K260,P.S. 260 Breuckelen,4,GEN ED,44,2,22,22,22
K273,P.S. 273 Wortman,4,GEN ED,47,2,23.5,22,25
K273,P.S. 273 Wortman,4,CTT,22,1,22,22,22
K290,P.S. 290 Juan Morel Campos,4,GEN ED,87,4,21.8,21,23
K306,P.S. 306 Ethan Allen,4,GEN ED,45,2,22.5,21,24
K306,P.S. 306 Ethan Allen,4,CTT,24,1,24,24,24
K328,P.S. 328 Phyllis Wheatley,4,GEN ED,40,2,20,20,20
K345,P.S. 345 Patrolman Robert Bolden,4,GEN ED,86,4,21.5,20,22
K345,P.S. 345 Patrolman Robert Bolden,4,CTT,21,1,21,21,21
K346,P.S. 346 Abe Stark,4,GEN ED,119,5,23.8,23,26
K677,EAST NEW YORK ELEMENTARY SCHOOL OF EXCELLENCE,4,GEN ED,88,4,22,21,23
K048,P.S. 048 Mapleton,4,GEN ED,100,4,25,24,26
K069,P.S. 69 Vincent D. Grippo School,4,GEN ED,163,6,27.2,22,29
K102,P.S. 102 The Bayview,4,GEN ED,150,5,30,27,32
K102,P.S. 102 The Bayview,4,CTT,31,1,31,31,31
K104,P.S./I.S. 104 The Fort Hamilton School,4,GEN ED,104,4,26,25,27
K104,P.S./I.S. 104 The Fort Hamilton School,4,G&T,27,1,27,27,27
K105,P.S. 105 The Blythebourne,4,GEN ED,216,7,30.9,27,33
K105,P.S. 105 The Blythebourne,4,CTT,30,1,30,30,30
K112,P.S. 112 Lefferts Park,4,GEN ED,83,3,27.7,27,28
K127,P.S. 127 Mckinley Park,4,GEN ED,29,1,29,29,29
K127,P.S. 127 Mckinley Park,4,CTT,28,1,28,28,28
K160,P.S. 160 William T. Sampson,4,GEN ED,135,5,27,26,28
K163,P.S. 163 Bath Beach,4,GEN ED,55,2,27.5,26,29
K164,P.S. 164 Caesar Rodney,4,GEN ED,21,1,21,21,21
K164,P.S. 164 Caesar Rodney,4,CTT,41,2,20.5,18,23
K170,Ralph A. Fabrizio School,4,GEN ED,86,3,28.7,28,29
K170,Ralph A. Fabrizio School,4,CTT,28,1,28,28,28
K176,P.S. 176 Ovington,4,GEN ED,137,6,22.8,21,25
K176,P.S. 176 Ovington,4,CTT,26,1,26,26,26
K176,P.S. 176 Ovington,4,G&T,25,1,25,25,25
K179,P.S. 179 Kensington,4,GEN ED,128,5,25.6,25,27
K180,The SEEALL Academy,4,GEN ED,28,1,28,28,28
K180,The SEEALL Academy,4,CTT,30,1,30,30,30
K180,The SEEALL Academy,4,G&T,27,1,27,27,27
K185,P.S. 185 Walter Kassenbrock,4,GEN ED,112,4,28,26,30
K185,P.S. 185 Walter Kassenbrock,4,CTT,23,1,23,23,23
K186,P.S. 186 Dr. Irving A Gladstone,4,GEN ED,107,4,26.8,26,27
K186,P.S. 186 Dr. Irving A Gladstone,4,CTT,26,1,26,26,26
K192,P.S. 192 - The Magnet School for Math and Science Inquiry,4,GEN ED,21,1,21,21,21
K192,P.S. 192 - The Magnet School for Math and Science Inquiry,4,CTT,24,1,24,24,24
K200,P.S. 200 Benson School,4,GEN ED,187,6,31.2,25,34
K200,P.S. 200 Benson School,4,G&T,21,1,21,21,21
K204,P.S. 204 Vince Lombardi,4,GEN ED,120,4,30,29,31
K204,P.S. 204 Vince Lombardi,4,G&T,18,1,18,18,18
K205,P.S. 205 Clarion,4,GEN ED,121,4,30.3,29,32
K229,P.S. 229 Dyker,4,GEN ED,84,3,28,28,28
K229,P.S. 229 Dyker,4,G&T,28,1,28,28,28
K247,P.S. 247 Brooklyn,4,GEN ED,97,4,24.3,24,25
K503,PS 503: The School of Discovery,4,GEN ED,110,4,27.5,26,28
K503,PS 503: The School of Discovery,4,CTT,27,1,27,27,27
K506,P.S. 506: The School of Journalism & Technology,4,GEN ED,99,4,24.8,21,27
K090,P.S. 90 Edna Cohen School,4,GEN ED,55,2,27.5,27,28
K090,P.S. 90 Edna Cohen School,4,CTT,26,1,26,26,26
K095,P.S. 095 The Gravesend,4,GEN ED,85,3,28.3,23,32
K095,P.S. 095 The Gravesend,4,CTT,28,1,28,28,28
K097,P.S. 97 The Highlawn,4,GEN ED,93,3,31,30,32
K097,P.S. 97 The Highlawn,4,CTT,30,1,30,30,30
K099,P.S. 099 Isaac Asimov,4,GEN ED,54,2,27,26,28
K099,P.S. 099 Isaac Asimov,4,G&T,23,1,23,23,23
K100,P.S. 100 The Coney Island School,4,GEN ED,97,4,24.3,23,26
K100,P.S. 100 The Coney Island School,4,CTT,22,1,22,22,22
K101,P.S. 101 The Verrazano,4,GEN ED,128,4,32,32,32
K121,P.S. 121 Nelson A. Rockefeller,4,GEN ED,24,1,24,24,24
K128,P.S. 128 Bensonhurst,4,GEN ED,55,2,27.5,26,29
K153,P.S. 153 Homecrest,4,GEN ED,89,3,29.7,29,30
K177,P.S. 177 The Marlboro,4,GEN ED,138,5,27.6,27,29
K188,P.S. 188 Michael E. Berdy,4,GEN ED,27,1,27,27,27
K188,P.S. 188 Michael E. Berdy,4,CTT,27,1,27,27,27
K188,P.S. 188 Michael E. Berdy,4,G&T,22,1,22,22,22
K199,P.S. 199 Frederick Wachtel,4,GEN ED,54,2,27,27,27
K199,P.S. 199 Frederick Wachtel,4,CTT,25,1,25,25,25
K209,P.S. 209 Margaret Mead,4,GEN ED,58,2,29,28,30
K209,P.S. 209 Margaret Mead,4,CTT,27,1,27,27,27
K212,P.S. 212 Lady Deborah Moody,4,GEN ED,35,2,17.5,16,19
K212,P.S. 212 Lady Deborah Moody,4,CTT,22,1,22,22,22
K212,P.S. 212 Lady Deborah Moody,4,G&T,19,1,19,19,19
K215,P.S. 215 Morris H. Weiss,4,GEN ED,49,3,16.3,13,19
K215,P.S. 215 Morris H. Weiss,4,G&T,25,1,25,25,25
K216,P.S. 216 Arturo Toscanini,4,GEN ED,55,2,27.5,26,29
K216,P.S. 216 Arturo Toscanini,4,CTT,24,1,24,24,24
K225,P.S. K225 - The Eileen E. Zaglin,4,GEN ED,70,3,23.3,23,24
K225,P.S. K225 - The Eileen E. Zaglin,4,CTT,24,1,24,24,24
K226,P.S. 226 Alfred De B.Mason,4,GEN ED,56,2,28,26,30
K226,P.S. 226 Alfred De B.Mason,4,CTT,26,1,26,26,26
K238,P.S. 238 Anne Sullivan,4,GEN ED,57,2,28.5,27,30
K253,P.S. 253,4,GEN ED,83,3,27.7,26,29
K288,P.S. 288 The Shirley Tanyhill,4,GEN ED,28,1,28,28,28
K288,P.S. 288 The Shirley Tanyhill,4,CTT,25,1,25,25,25
K329,P.S. 329 Surfside,4,GEN ED,29,1,29,29,29
K329,P.S. 329 Surfside,4,CTT,28,1,28,28,28
K329,P.S. 329 Surfside,4,G&T,17,1,17,17,17
K052,P.S. 052 Sheepshead Bay,4,GEN ED,59,2,29.5,29,30
K052,P.S. 052 Sheepshead Bay,4,CTT,32,1,32,32,32
K052,P.S. 052 Sheepshead Bay,4,G&T,32,1,32,32,32
K109,P.S. 109,4,GEN ED,24,1,24,24,24
K109,P.S. 109,4,CTT,27,1,27,27,27
K109,P.S. 109,4,G&T,24,1,24,24,24
K119,P.S. 119 Amersfort,4,GEN ED,77,3,25.7,24,27
K119,P.S. 119 Amersfort,4,CTT,25,1,25,25,25
K119,P.S. 119 Amersfort,4,G&T,27,1,27,27,27
K134,P.S. K134,4,GEN ED,45,2,22.5,21,24
K134,P.S. K134,4,CTT,21,1,21,21,21
K139,P.S. 139 Alexine A. Fenty,4,GEN ED,124,4,31,31,31
K139,P.S. 139 Alexine A. Fenty,4,CTT,30,1,30,30,30
K139,P.S. 139 Alexine A. Fenty,4,G&T,27,1,27,27,27
K152,School of Science & Technology,4,GEN ED,112,4,28,26,29
K152,School of Science & Technology,4,CTT,22,1,22,22,22
K193,P.S. 193 Gil Hodges,4,GEN ED,113,4,28.3,26,30
K193,P.S. 193 Gil Hodges,4,CTT,30,1,30,30,30
K194,P.S. 194 Raoul Wallenberg,4,GEN ED,29,1,29,29,29
K194,P.S. 194 Raoul Wallenberg,4,G&T,28,1,28,28,28
K195,P.S. 195 Manhattan Beach,4,GEN ED,55,2,27.5,27,28
K197,P.S. 197 Brooklyn,4,GEN ED,44,2,22,20,24
K197,P.S. 197 Brooklyn,4,CTT,25,1,25,25,25
K198,P.S. 198 Brooklyn,4,GEN ED,64,3,21.3,20,24
K198,P.S. 198 Brooklyn,4,CTT,21,1,21,21,21
K198,P.S. 198 Brooklyn,4,G&T,20,1,20,20,20
K203,P.S. 203 Floyd Bennett,4,GEN ED,118,4,29.5,28,33
K203,P.S. 203 Floyd Bennett,4,CTT,28,1,28,28,28
K206,P.S. 206 Joseph F Lamb,4,GEN ED,151,5,30.2,29,31
K206,P.S. 206 Joseph F Lamb,4,CTT,30,1,30,30,30
K207,P.S. 207 Elizabeth G. Leary,4,GEN ED,86,3,28.7,28,29
K207,P.S. 207 Elizabeth G. Leary,4,CTT,55,2,27.5,27,28
K217,P.S. 217 Colonel David Marcus School,4,GEN ED,145,5,29,27,31
K217,P.S. 217 Colonel David Marcus School,4,CTT,63,2,31.5,31,32
K222,P.S. 222 Katherine R. Snyder,4,GEN ED,75,3,25,24,27
K222,P.S. 222 Katherine R. Snyder,4,CTT,69,3,23,22,24
K236,P.S. 236 Mill Basin,4,CTT,26,1,26,26,26
K236,P.S. 236 Mill Basin,4,G&T,55,2,27.5,27,28
K245,P.S. 245,4,GEN ED,24,1,24,24,24
K251,P.S. 251 Paerdegat,4,GEN ED,25,1,25,25,25
K251,P.S. 251 Paerdegat,4,CTT,44,2,22,21,23
K251,P.S. 251 Paerdegat,4,G&T,22,1,22,22,22
K254,P.S. 254 Dag Hammarskjold,4,GEN ED,70,3,23.3,22,25
K254,P.S. 254 Dag Hammarskjold,4,CTT,22,1,22,22,22
K255,P.S. 255 Barbara Reing School,4,GEN ED,78,3,26,21,30
K255,P.S. 255 Barbara Reing School,4,CTT,22,1,22,22,22
K269,P.S. 269 Nostrand,4,GEN ED,138,5,27.6,26,28
K269,P.S. 269 Nostrand,4,CTT,29,1,29,29,29
K269,P.S. 269 Nostrand,4,G&T,27,1,27,27,27
K277,P.S. 277 Gerritsen Beach,4,GEN ED,48,2,24,23,25
K277,P.S. 277 Gerritsen Beach,4,CTT,21,1,21,21,21
K312,P.S. 312 Bergen Beach,4,GEN ED,88,3,29.3,26,31
K312,P.S. 312 Bergen Beach,4,CTT,27,1,27,27,27
K312,P.S. 312 Bergen Beach,4,G&T,31,1,31,31,31
K315,P.S. K315,4,GEN ED,78,3,26,25,27
K315,P.S. K315,4,G&T,52,2,26,25,27
K041,P.S. 041 Francis White,4,GEN ED,47,2,23.5,22,25
K041,P.S. 041 Francis White,4,G&T,20,1,20,20,20
K073,P.S. 073 Thomas S. Boyland,4,GEN ED,46,2,23,22,24
K137,P.S./I.S. 137 Rachel Jean Mitchell,4,GEN ED,30,1,30,30,30
K150,P.S. 150 Christopher,4,GEN ED,32,1,32,32,32
K155,P.S./ I.S. 155 Nicholas Herkimer,4,GEN ED,50,2,25,25,25
K156,P.S. 156 Waverly,4,GEN ED,132,5,26.4,23,29
K165,P.S. 165 Ida Posner,4,GEN ED,45,2,22.5,22,23
K165,P.S. 165 Ida Posner,4,CTT,22,1,22,22,22
K178,P.S. 178 Saint Clair Mckelway,4,GEN ED,56,3,18.7,17,20
K184,P.S. 184 Newport,4,GEN ED,47,2,23.5,23,24
K284,P.S. 284 Lew Wallace,4,GEN ED,62,2,31,30,32
K298,P.S. 298 Dr. Betty Shabazz,4,GEN ED,49,2,24.5,24,25
K323,P.S./I.S. 323,4,GEN ED,47,2,23.5,20,27
K327,P.S. 327 Dr. Rose B. English,4,GEN ED,82,3,27.3,22,30
K332,P.S. 332 Charles H. Houston,4,GEN ED,31,1,31,31,31
K332,P.S. 332 Charles H. Houston,4,CTT,19,1,19,19,19
K631,General D. Chappie James Elementary School of Science,4,GEN ED,70,3,23.3,23,24
Q012,P.S. 012 James B. Colgate,4,GEN ED,185,6,30.8,30,32
Q012,P.S. 012 James B. Colgate,4,CTT,31,1,31,31,31
Q013,P.S. 013 Clement C. Moore,4,GEN ED,187,7,26.7,25,31
Q013,P.S. 013 Clement C. Moore,4,CTT,25,1,25,25,25
Q014,P.S. 014 Fairview,4,GEN ED,229,9,25.4,12,28
Q016,P.S. Q016,4,GEN ED,231,8,28.9,23,31
Q016,P.S. Q016,4,G&T,24,1,24,24,24
Q019,P.S. 019 Marino Jeantet,4,GEN ED,321,13,24.7,7,29
Q019,P.S. 019 Marino Jeantet,4,CTT,58,2,29,28,30
Q049,P.S. 049 Dorothy Bonawit Kole,4,GEN ED,89,3,29.7,29,31
Q049,P.S. 049 Dorothy Bonawit Kole,4,CTT,29,1,29,29,29
Q058,P.S. 58 - School of Heroes,4,GEN ED,90,3,30,29,31
Q058,P.S. 58 - School of Heroes,4,CTT,27,1,27,27,27
Q068,P.S. 068 Cambridge,4,GEN ED,98,4,24.5,21,27
Q068,P.S. 068 Cambridge,4,CTT,19,1,19,19,19
Q071,P.S. 071 Forest,4,GEN ED,133,6,22.2,18,26
Q071,P.S. 071 Forest,4,CTT,23,1,23,23,23
Q081,P.S. 81Q Jean Paul Richter,4,GEN ED,139,5,27.8,26,29
Q081,P.S. 81Q Jean Paul Richter,4,CTT,56,2,28,27,29
Q087,P.S. 087 Middle Village,4,GEN ED,24,1,24,24,24
Q087,P.S. 087 Middle Village,4,CTT,27,1,27,27,27
Q088,P.S. 088 Seneca,4,GEN ED,102,4,25.5,19,34
Q088,P.S. 088 Seneca,4,CTT,48,2,24,24,24
Q089,P.S. 089 Elmhurst,4,GEN ED,239,9,26.6,24,29
Q089,P.S. 089 Elmhurst,4,CTT,30,1,30,30,30
Q091,P.S. 091 Richard Arkwright,4,GEN ED,62,3,20.7,20,21
Q091,P.S. 091 Richard Arkwright,4,CTT,45,2,22.5,22,23
Q091,P.S. 091 Richard Arkwright,4,G&T,25,1,25,25,25
Q102,P.S. 102 Bayview,4,GEN ED,109,4,27.3,24,31
Q102,P.S. 102 Bayview,4,CTT,25,1,25,25,25
Q113,P.S. 113 Isaac Chauncey,4,GEN ED,82,3,27.3,27,28
Q128,P.S. 128 Juniper Valley,4,GEN ED,86,3,28.7,28,29
Q143,P.S. 143 Louis Armstrong,4,GEN ED,235,8,29.4,26,32
Q153,P.S. 153 Maspeth Elem,4,GEN ED,156,6,26,24,28
Q153,P.S. 153 Maspeth Elem,4,CTT,25,1,25,25,25
Q153,P.S. 153 Maspeth Elem,4,G&T,29,1,29,29,29
Q199,P.S. 199 Maurice A. Fitzgerald,4,GEN ED,168,8,21,17,27
Q199,P.S. 199 Maurice A. Fitzgerald,4,CTT,29,1,29,29,29
Q229,P.S. 229 Emanuel Kaplan,4,GEN ED,120,5,24,21,32
Q229,P.S. 229 Emanuel Kaplan,4,CTT,54,2,27,27,27
Q239,P.S. 239,4,GEN ED,113,4,28.3,27,29
Q877,The 51 Avenue Academy (The Path To Academic Excellence),4,GEN ED,156,6,26,25,28
Q877,The 51 Avenue Academy (The Path To Academic Excellence),4,CTT,45,2,22.5,20,25
Q020,P.S. 020 John Bowne,4,GEN ED,217,8,27.1,20,29
Q021,P.S. 021 Edward Hart,4,GEN ED,113,4,28.3,27,30
Q021,P.S. 021 Edward Hart,4,CTT,27,1,27,27,27
Q022,P.S. 022 Thomas Jefferson,4,GEN ED,94,4,23.5,20,26
Q022,P.S. 022 Thomas Jefferson,4,CTT,23,1,23,23,23
Q024,P.S. 024 Andrew Jackson,4,GEN ED,119,5,23.8,23,25
Q024,P.S. 024 Andrew Jackson,4,CTT,28,1,28,28,28
Q029,P.S. 029 Queens,4,GEN ED,88,3,29.3,29,30
Q032,P.S. 032 State Street,4,GEN ED,113,4,28.3,24,32
Q079,P.S. 079 Francis Lewis,4,GEN ED,111,4,27.8,26,30
Q079,P.S. 079 Francis Lewis,4,CTT,29,1,29,29,29
Q107,P.S. 107 Thomas A Dooley,4,GEN ED,128,4,32,28,34
Q120,P.S. 120 Queens,4,GEN ED,103,4,25.8,24,28
Q129,P.S. 129 Patricia Larkin,4,GEN ED,77,3,25.7,23,27
Q129,P.S. 129 Patricia Larkin,4,CTT,58,2,29,28,30
Q154,P.S. 154 Queens,4,GEN ED,89,4,22.3,20,24
Q163,P.S. 163 Flushing Heights,4,GEN ED,49,2,24.5,24,25
Q163,P.S. 163 Flushing Heights,4,CTT,26,1,26,26,26
Q164,P.S. 164 Queens Valley,4,GEN ED,33,1,33,33,33
Q164,P.S. 164 Queens Valley,4,CTT,30,1,30,30,30
Q165,P.S. 165 Edith K. Bergtraum,4,GEN ED,29,1,29,29,29
Q165,P.S. 165 Edith K. Bergtraum,4,CTT,27,1,27,27,27
Q165,P.S. 165 Edith K. Bergtraum,4,G&T,29,1,29,29,29
Q169,P.S. 169 Bay Terrace,4,GEN ED,59,2,29.5,29,30
Q184,P.S. 184 Flushing Manor,4,GEN ED,77,3,25.7,25,26
Q193,P.S. 193 Alfred J. Kennedy,4,GEN ED,69,3,23,22,24
Q200,PS/MS 200 - The Pomonok School & STAR Academy,4,GEN ED,22,1,22,22,22
Q200,PS/MS 200 - The Pomonok School & STAR Academy,4,CTT,26,1,26,26,26
Q201,P.S. 201 The Discovery School for Inquiry and Research,4,GEN ED,47,2,23.5,23,24
Q201,P.S. 201 The Discovery School for Inquiry and Research,4,CTT,25,1,25,25,25
Q209,P.S. 209 Clearview Gardens,4,GEN ED,53,2,26.5,26,27
Q209,P.S. 209 Clearview Gardens,4,G&T,32,1,32,32,32
Q214,P.S. 214 Cadwallader Colden,4,GEN ED,70,3,23.3,23,24
Q219,P.S. 219 Paul Klapper,4,GEN ED,50,2,25,25,25
Q499,The Queens College School for Math; Science and Technology,4,GEN ED,50,2,25,24,26
Q018,P.S. 018 Winchester,4,GEN ED,80,3,26.7,25,28
Q026,P.S. 026 Rufus King,4,GEN ED,64,2,32,32,32
Q026,P.S. 026 Rufus King,4,CTT,30,1,30,30,30
Q031,P.S. 031 Bayside,4,GEN ED,88,3,29.3,29,30
Q041,P.S. 041 Crocheron,4,GEN ED,71,3,23.7,23,24
Q046,P.S. 046 Alley Pond,4,GEN ED,50,2,25,24,26
Q046,P.S. 046 Alley Pond,4,CTT,24,1,24,24,24
Q094,P.S. 094 David D. Porter,4,GEN ED,73,3,24.3,22,26
Q098,P.S. 098 The Douglaston School,4,GEN ED,41,2,20.5,20,21
Q115,P.S. 115 Glen Oaks,4,GEN ED,44,2,22,22,22
Q115,P.S. 115 Glen Oaks,4,CTT,25,1,25,25,25
Q133,P.S. 133 Queens,4,GEN ED,66,3,22,21,23
Q159,P.S. 159,4,GEN ED,69,3,23,22,24
Q162,P.S. 162 John Golden,4,GEN ED,120,4,30,28,32
Q173,P.S. 173 Fresh Meadows,4,GEN ED,127,4,31.8,31,32
Q178,P.S./ IS 178 Holliswood,4,GEN ED,49,2,24.5,24,25
Q186,P.S. 186 Castlewood,4,GEN ED,15,1,15,15,15
Q186,P.S. 186 Castlewood,4,CTT,35,2,17.5,16,19
Q188,P.S. 188 Kingsbury,4,GEN ED,50,2,25,25,25
Q188,P.S. 188 Kingsbury,4,CTT,21,1,21,21,21
Q188,P.S. 188 Kingsbury,4,G&T,31,1,31,31,31
Q191,P.S. 191 Mayflower,4,GEN ED,47,2,23.5,23,24
Q203,P.S. 203 Oakland Gardens,4,GEN ED,108,4,27,26,30
Q205,P.S. 205 Alexander Graham Bell,4,GEN ED,38,2,19,18,20
Q213,P.S. 213 The Carl Ullman School,4,GEN ED,33,1,33,33,33
Q213,P.S. 213 The Carl Ullman School,4,CTT,31,1,31,31,31
Q221,P.S. 221 The North Hills School,4,GEN ED,98,4,24.5,24,26
Q266,P.S. / I.S. 266,4,GEN ED,78,3,26,26,26
Q042,P.S. 042 R. Vernam,4,GEN ED,67,3,22.3,21,23
Q043,P.S. 043,4,GEN ED,91,4,22.8,21,24
Q043,P.S. 043,4,CTT,18,1,18,18,18
Q045,P.S. 045 Clarence Witherspoon,4,GEN ED,63,3,21,21,21
Q047,P.S. 047 Chris Galas,4,GEN ED,20,1,20,20,20
Q056,P.S. 056 Harry Eichler,4,GEN ED,76,3,25.3,23,27
Q056,P.S. 056 Harry Eichler,4,CTT,24,1,24,24,24
Q056,P.S. 056 Harry Eichler,4,G&T,23,1,23,23,23
Q060,P.S. 060 Woodhaven,4,GEN ED,158,6,26.3,25,28
Q060,P.S. 060 Woodhaven,4,CTT,25,1,25,25,25
Q062,P.S. 062 Chester Park,4,GEN ED,159,6,26.5,25,30
Q063,P.S. 063 Old South,4,GEN ED,212,7,30.3,30,31
Q064,P.S. 064 Joseph P. Addabbo,4,GEN ED,112,4,28,28,28
Q065,P.S. 65 - The Raymond York Elementary School,4,GEN ED,93,3,31,31,31
Q066,P.S. 066 Jacqueline Kennedy Onassis,4,GEN ED,82,3,27.3,27,28
Q090,P.S. 090 Horace Mann,4,GEN ED,96,3,32,32,32
Q090,P.S. 090 Horace Mann,4,CTT,28,1,28,28,28
Q096,P.S. 096,4,GEN ED,46,2,23,23,23
Q097,P.S. 097 Forest Park,4,GEN ED,121,4,30.3,29,32
Q100,P.S. 100 Glen Morris,4,GEN ED,137,5,27.4,26,30
Q100,P.S. 100 Glen Morris,4,CTT,22,1,22,22,22
Q104,P.S. 104 The Bays Water,4,GEN ED,60,2,30,29,31
Q104,P.S. 104 The Bays Water,4,CTT,32,1,32,32,32
Q105,P.S. 105 The Bay School,4,GEN ED,85,3,28.3,27,30
Q106,P.S. 106,4,CTT,25,1,25,25,25
Q106,P.S. 106,4,G&T,27,1,27,27,27
Q108,P.S. 108 Captain Vincent G. Fowler,4,GEN ED,161,6,26.8,26,28
Q108,P.S. 108 Captain Vincent G. Fowler,4,CTT,28,1,28,28,28
Q108,P.S. 108 Captain Vincent G. Fowler,4,G&T,16,1,16,16,16
Q114,P.S. / M.S. 114 Belle Harbor,4,GEN ED,104,4,26,25,27
Q123,P.S. 123,4,GEN ED,60,2,30,30,30
Q123,P.S. 123,4,CTT,29,1,29,29,29
Q124,P.S. 124 Osmond A Church,4,GEN ED,112,4,28,26,30
Q124,P.S. 124 Osmond A Church,4,CTT,28,1,28,28,28
Q124,P.S. 124 Osmond A Church,4,G&T,31,1,31,31,31
Q146,P.S. 146 Howard Beach,4,GEN ED,49,2,24.5,24,25
Q146,P.S. 146 Howard Beach,4,CTT,28,1,28,28,28
Q155,P.S. 155,4,GEN ED,52,2,26,25,27
Q155,P.S. 155,4,CTT,25,1,25,25,25
Q183,P.S. 183 Dr. Richard R. Green,4,GEN ED,44,2,22,21,23
Q183,P.S. 183 Dr. Richard R. Green,4,G&T,26,1,26,26,26
Q197,P.S. 197 The Ocean School,4,GEN ED,71,3,23.7,23,25
Q207,P.S. 207 Rockwood Park,4,GEN ED,53,2,26.5,26,27
Q207,P.S. 207 Rockwood Park,4,CTT,27,1,27,27,27
Q215,P.S. 215 Lucretia Mott,4,GEN ED,87,3,29,28,30
Q223,P.S. 223 Lyndon B. Johnson,4,GEN ED,134,6,22.3,21,25
Q232,P.S. 232 Lindenwood,4,GEN ED,117,4,29.3,28,32
Q253,P.S. 253,4,GEN ED,54,2,27,26,28
Q253,P.S. 253,4,CTT,23,1,23,23,23
Q254,P.S. 254,4,GEN ED,82,3,27.3,24,29
Q254,P.S. 254,4,CTT,29,1,29,29,29
Q317,WATERSIDE CHILDREN'S STUDIO SCHOOL,4,GEN ED,26,1,26,26,26
Q317,WATERSIDE CHILDREN'S STUDIO SCHOOL,4,CTT,25,1,25,25,25
Q333,Goldie Maple Academy,4,GEN ED,25,1,25,25,25
Q333,Goldie Maple Academy,4,G&T,23,1,23,23,23
Q048,P.S. 048 William Wordsworth,4,GEN ED,51,2,25.5,25,26
Q030,P.S. 030 Queens,4,GEN ED,39,2,19.5,19,20
Q030,P.S. 030 Queens,4,CTT,20,1,20,20,20
Q030,P.S. 030 Queens,4,G&T,22,1,22,22,22
Q040,P.S. 040 Samuel Huntington,4,GEN ED,59,3,19.7,16,23
Q050,P.S. 050 Talfourd Lawn Elementary School,4,GEN ED,116,5,23.2,22,27
Q054,P.S. 054 Hillside,4,GEN ED,76,3,25.3,25,26
Q055,P.S. 055 Maure,4,GEN ED,77,3,25.7,25,27
Q055,P.S. 055 Maure,4,CTT,23,1,23,23,23
Q080,P.S. 080 Thurgood Marshall Magnet,4,GEN ED,53,2,26.5,25,28
Q080,P.S. 080 Thurgood Marshall Magnet,4,CTT,29,1,29,29,29
Q082,P.S. 082 Hammond,4,GEN ED,89,4,22.3,21,23
Q086,P.S. Q086,4,GEN ED,194,6,32.3,32,34
Q086,P.S. Q086,4,CTT,27,1,27,27,27
Q099,P.S. 099 Kew Gardens,4,GEN ED,60,2,30,30,30
Q099,P.S. 099 Kew Gardens,4,CTT,29,1,29,29,29
Q099,P.S. 099 Kew Gardens,4,G&T,25,1,25,25,25
Q101,P.S. 101 School in the Gardens,4,GEN ED,82,3,27.3,27,28
