DateOfBite,Breed,Age,Gender,SpayNeuter,Borough
August 27 2015,Shiba Inu,6,F,TRUE,Brooklyn
August 27 2015,Chihuahua,3,M,TRUE,Brooklyn
August 29 2015,Brittany Spaniel,3,M,FALSE,Brooklyn
August 30 2015,Yorkshire Terrier,7,F,TRUE,Brooklyn
August 28 2015,Pit Bull,3,F,TRUE,Brooklyn
September 01 2015,BLUE HEELER/ AUSTRALIAN CATTLE MIX,5,F,TRUE,Brooklyn
September 01 2015,Labrador Retriever,3,M,TRUE,Brooklyn
September 01 2015,Shiba Inu,3,M,TRUE,Brooklyn
September 08 2015,MINIATURE SCHNAUZER,3,F,FALSE,Brooklyn
September 05 2015,American Pit Bull Mix / Pit Bull Mix,8,F,TRUE,Brooklyn
September 03 2015,Shih Tzu,3,M,FALSE,Brooklyn
September 06 2015,American Pit Bull Terrier/Pit Bull,8,F,TRUE,Brooklyn
September 09 2015,Labrador Retriever Crossbreed,1,M,TRUE,Brooklyn
September 10 2015,YORKIPOO,2,M,FALSE,Brooklyn
September 14 2015,American Pit Bull Terrier/Pit Bull,4,M,FALSE,Brooklyn
September 13 2015,Chihuahua,3,M,TRUE,Brooklyn
September 12 2015,American Pit Bull Mix / Pit Bull Mix,1,M,TRUE,Brooklyn
September 11 2015,American Pit Bull Terrier/Pit Bull,2,M,FALSE,Brooklyn
September 15 2015,CORGI/CHIHUAHUA X,1,M,TRUE,Brooklyn
September 13 2015,YORKIE/SHIH TZU,3,M,TRUE,Brooklyn
September 16 2015,German Shepherd Crossbreed,15,F,TRUE,Brooklyn
September 16 2015,Labrador Retriever,7,F,FALSE,Brooklyn
September 20 2015,German Shepherd,1,F,FALSE,Brooklyn
September 20 2015,Bull Dog; English,7,M,TRUE,Brooklyn
September 18 2015,Shih Tzu,1,M,TRUE,Brooklyn
September 22 2015,PEKINGESE;SHIH TZU;  CHIH HUA HUA X,5,M,FALSE,Brooklyn
September 22 2015,German Shepherd,2,M,TRUE,Brooklyn
September 26 2015,GREAT DANE/PIT BULL X,1,M,TRUE,Brooklyn
September 26 2015,LHASA APSO/POODLDE X,1,M,FALSE,Brooklyn
September 28 2015,Beagle Crossbreed,6,M,TRUE,Brooklyn
September 20 2015,American Pit Bull Mix / Pit Bull Mix,2,F,FALSE,Brooklyn
September 28 2015,German Shepherd Crossbreed,3,F,FALSE,Brooklyn
September 30 2015,American Pit Bull Mix / Pit Bull Mix,10,F,TRUE,Brooklyn
September 30 2015,Labrador Retriever Crossbreed,7,M,TRUE,Brooklyn
September 22 2015,SHARPEI/GERMAN SHEP X,1,M,FALSE,Brooklyn
October 04 2015,Pit Bull,3,F,FALSE,Brooklyn
October 05 2015,American Pit Bull Mix / Pit Bull Mix,2,M,TRUE,Brooklyn
October 02 2015,LAB/BASSET HOUND X,1,F,FALSE,Brooklyn
September 27 2015,Chow Chow,12,F,FALSE,Brooklyn
October 08 2015,German Shepherd,5,M,FALSE,Brooklyn
October 11 2015,American Pit Bull Terrier/Pit Bull,4,M,FALSE,Brooklyn
October 10 2015,AUSTRALIAN CATTLE DOG,14,M,TRUE,Brooklyn
October 12 2015,English Springer Spaniel,12,M,TRUE,Brooklyn
October 15 2015,Pit Bull,5,M,FALSE,Brooklyn
October 18 2015,BORDER COLLIE/LAB,4,M,TRUE,Brooklyn
October 18 2015,American Eskimo,7,M,FALSE,Brooklyn
October 05 2015,American Pit Bull Terrier/Pit Bull,1,F,TRUE,Brooklyn
October 05 2015,Labrador Retriever Crossbreed,9,M,FALSE,Brooklyn
October 09 2015,Bull dog,2,F,TRUE,Brooklyn
October 09 2015,Bull dog,2,F,TRUE,Brooklyn
October 20 2015,German Shepherd,8,M,TRUE,Brooklyn
October 19 2015,Yorkshire Terrier,4,F,TRUE,Brooklyn
October 21 2015,Chihuahua,10,M,FALSE,Brooklyn
October 21 2015,Pit Bull,4,F,FALSE,Brooklyn
October 22 2015,Belgian Sheepdog,2,F,TRUE,Brooklyn
October 24 2015,American Pit Bull Terrier/Pit Bull,1,M,FALSE,Brooklyn
October 23 2015,RAT TERRIER,8,F,FALSE,Brooklyn
October 19 2015,German Shepherd,4,M,TRUE,Brooklyn
October 18 2015,Yorkshire Terrier,3,M,TRUE,Brooklyn
October 24 2015,Pit Bull,3,M,FALSE,Brooklyn
October 27 2015,Shih Tzu,2,M,FALSE,Brooklyn
October 26 2015,Chihuahua,1,F,TRUE,Brooklyn
October 14 2015,Labrador Retriever Crossbreed,2,M,TRUE,Brooklyn
November 01 2015,American Pit Bull Terrier/Pit Bull,1,M,FALSE,Brooklyn
October 31 2015,Vizsla,2,M,TRUE,Brooklyn
November 04 2015,Puggle,8,F,TRUE,Brooklyn
November 04 2015,American Pit Bull Mix / Pit Bull Mix,3,F,FALSE,Brooklyn
October 23 2015,American Staffordshire Terrier,1,M,TRUE,Brooklyn
November 05 2015,YORKIE/MALTESE X,7,M,TRUE,Brooklyn
November 06 2015,American Pit Bull Mix / Pit Bull Mix,1,M,TRUE,Brooklyn
November 06 2015,MIXED,5,M,TRUE,Brooklyn
November 07 2015,CHOW/SHEPHERD X,15,M,TRUE,Brooklyn
November 07 2015,Mastiff; Bull,6,M,TRUE,Brooklyn
November 07 2015,Poodle; Standard,9,M,TRUE,Brooklyn
November 11 2015,Chihuahua,2,M,FALSE,Brooklyn
November 10 2015,DOBERMAN/PIT BULL X,1,M,TRUE,Brooklyn
